Branch_Code,Cabang,Wilayah,Gel_SimFast,Implement,Has_SimFast
BDG,BANDUNG,JABAR,0,2025-10-11,1
BGR,BOGOR,JABODETABEK,0,2025-10-11,1
BSD,Jakarta (BSD),JABODETABEK,0,2025-10-11,1
CPK,Jakarta (CEMPAKA MAS),JABODETABEK,0,2025-10-11,1
DPK,DEPOK,JABODETABEK,0,2025-10-11,1
MTR,MATARAM,BALINUSRA,1,2026-01-09,1
SGR,SINGARAJA,BALINUSRA,1,2026-01-09,1
JYP,JAYAPURA,INTIM,1,2026-01-09,1
KPG,KUPANG,INTIM,1,2026-01-09,1
PWA,PURWAKARTA,JABAR,1,2026-01-09,1
TSM,TASIKMALAYA,JABAR,1,2026-01-09,1
BKS,BEKASI,JABODETABEK,1,2026-01-09,1
CJU,CIANJUR,JABODETABEK,1,2026-01-09,1
CKR,CIKARANG,JABODETABEK,1,2026-01-09,1
KRW,KARAWANG,JABODETABEK,1,2026-01-09,1
SKB,SUKABUMI,JABODETABEK,1,2026-01-09,1
SMG,SEMARANG,JATENG,1,2026-01-09,1
TGL,TEGAL,JATENG,1,2026-01-09,1
MDU,MADIUN,JATIM,1,2026-01-09,1
SBY,SURABAYA,JATIM,1,2026-01-09,1
BJM,BANJARMASIN,KALIMANTAN,1,2026-01-09,1
SMD,SAMARINDA,KALIMANTAN,1,2026-01-09,1
KND,KENDARI,SULAWESI,1,2026-01-09,1
MDO,MANADO,SULAWESI,1,2026-01-09,1
JMB,JAMBI,SUMBAGSEL,1,2026-01-09,1
PLB,PALEMBANG,SUMBAGSEL,1,2026-01-09,1
BTM,BATAM,SUMBAGUT,1,2026-01-09,1
MDN,MEDAN,SUMBAGUT,1,2026-01-09,1
BIM,BIMA,BALINUSRA,2,2026-03-02,1
DPS,DENPASAR,BALINUSRA,2,2026-03-02,1
SLG,SELONG,BALINUSRA,2,2026-03-02,1
BON,AMBON,INTIM,2,2026-03-02,1
MRK,MERAUKE,INTIM,2,2026-03-02,1
SOR,SORONG,INTIM,2,2026-03-02,1
TNT,TERNATE,INTIM,2,2026-03-02,1
CRB,CIREBON,JABAR,2,2026-03-02,1
IDR,INDRAMAYU,JABAR,2,2026-03-02,1
SUM,SUMEDANG,JABAR,2,2026-03-02,1
PKL,PEKALONGAN,JATENG,2,2026-03-02,1
PWT,PURWOKERTO,JATENG,2,2026-03-02,1
JGJ,YOGYAKARTA,JATENG,2,2026-03-02,1
JBG,JOMBANG,JATIM,2,2026-03-02,1
KDR,KEDIRI,JATIM,2,2026-03-02,1
MJK,MOJOKERTO,JATIM,2,2026-03-02,1
PKR,PALANGKARAYA,KALIMANTAN,2,2026-03-02,1
KWB,PANGKALAN BUN,KALIMANTAN,2,2026-03-02,1
PTK,PONTIANAK,KALIMANTAN,2,2026-03-02,1
GTO,GORONTALO,SULAWESI,2,2026-03-02,1
MKS,MAKASSAR,SULAWESI,2,2026-03-02,1
PLU,PALU,SULAWESI,2,2026-03-02,1
TMH,TOMOHON,SULAWESI,2,2026-03-02,1
LPG,LAMPUNG,SUMBAGSEL,2,2026-03-02,1
LBK,LUBUK LINGGAU,SUMBAGSEL,2,2026-03-02,1
MBG,MUARA BUNGO,SUMBAGSEL,2,2026-03-02,1
OKU,BATURAJA,SUMBAGSEL,2,2026-03-02,1
PKP,PANGKAL PINANG,SUMBAGSEL,2,2026-03-02,1
ASH,ASAHAN (KISARAN),SUMBAGUT,2,2026-03-02,1
PKB,PEKANBARU,SUMBAGUT,2,2026-03-02,1
RPT,RANTAU PRAPAT,SUMBAGUT,2,2026-03-02,1
STR,SIANTAR,SUMBAGUT,2,2026-03-02,1
END,ENDE,INTIM,3,2026-04-02,1
SIK,SIKKA (MAUMERE),INTIM,3,2026-04-02,1
BJR,BANJAR,JABAR,3,2026-04-02,1
